underlying_price,strike,expiration_date,option_type,bid,ask,volume,open_interest,last_price,implied_volatility,T,moneyness
399.7300109863281,320.0,2025-04-04,call,80.85,83.45,3000.0,3001,80.98,0.5183153637695312,0.09945575334071666,0.8005403427438549
399.7300109863281,330.0,2025-04-04,call,70.9,73.8,,1,89.8,0.5366257275390626,0.09945575334071666,0.8255572284546003
399.7300109863281,350.0,2025-04-04,call,51.9,54.85,1.0,5,52.32,0.450200810546875,0.09945575334071666,0.8755909998760913
399.7300109863281,355.0,2025-04-04,call,47.2,49.9,1.0,0,50.98,0.41992767578125,0.09945575334071666,0.888099442731464
399.7300109863281,370.0,2025-04-04,call,34.4,36.6,64.0,20,33.26,0.36759055267333984,0.09945575334071666,0.9256247712975822
399.7300109863281,375.0,2025-04-04,call,29.9,32.3,5.0,26,28.8,0.349341223449707,0.09945575334071666,0.9381332141529549
399.7300109863281,380.0,2025-04-04,call,26.05,28.4,5.0,197,27.35,0.3377141424560547,0.09945575334071666,0.9506416570083277
399.7300109863281,385.0,2025-04-04,call,22.4,23.8,2.0,5,22.7,0.30753255950927727,0.09945575334071666,0.9631500998637004
399.7300109863281,390.0,2025-04-04,call,18.4,19.45,23.0,94,18.6,0.2802196002197265,0.09945575334071666,0.9756585427190732
399.7300109863281,395.0,2025-04-04,call,14.2,16.15,23.0,24,15.22,0.27057614196777346,0.09945575334071666,0.9881669855744459
399.7300109863281,400.0,2025-04-04,call,11.3,13.2,127.0,277,12.55,0.26258061645507813,0.09945575334071666,1.0006754284298187
399.7300109863281,405.0,2025-04-04,call,9.7,10.55,166.0,145,10.35,0.2547071600341797,0.09945575334071666,1.0131838712851913
399.7300109863281,410.0,2025-04-04,call,8.0,8.25,94.0,346,8.05,0.24762715270996094,0.09945575334071666,1.025692314140564
399.7300109863281,415.0,2025-04-04,call,5.1,7.5,79.0,238,5.97,0.2670361383056641,0.09945575334071666,1.0382007569959368
399.7300109863281,420.0,2025-04-04,call,4.55,4.75,52.0,393,4.4,0.23676300354003904,0.09945575334071666,1.0507091998513096
399.7300109863281,425.0,2025-04-04,call,3.3,4.0,103.0,211,3.25,0.24600973724365233,0.09945575334071666,1.0632176427066822
399.7300109863281,430.0,2025-04-04,call,2.22,2.96,92.0,426,2.4,0.24262231994628902,0.09945575334071666,1.075726085562055
399.7300109863281,435.0,2025-04-04,call,1.76,2.26,293.0,176,1.75,0.24353783813476562,0.09945575334071666,1.0882345284174277
399.7300109863281,440.0,2025-04-04,call,1.27,1.39,76.0,196,1.36,0.2310867907714844,0.09945575334071666,1.1007429712728005
399.7300109863281,445.0,2025-04-04,call,0.9,1.0,317.0,1242,0.93,0.2310867907714844,0.09945575334071666,1.1132514141281733
399.7300109863281,450.0,2025-04-04,call,0.7,0.76,35.0,200,0.68,0.23450472534179687,0.09945575334071666,1.1257598569835459
399.7300109863281,455.0,2025-04-04,call,0.51,0.6,7.0,61,0.51,0.23975369628906246,0.09945575334071666,1.1382682998389186
399.7300109863281,460.0,2025-04-04,call,0.39,0.48,3.0,44,0.44,0.24536887451171874,0.09945575334071666,1.1507767426942914
399.7300109863281,465.0,2025-04-04,call,0.31,0.39,27.0,422,0.32,0.2512281909179687,0.09945575334071666,1.1632851855496642
399.7300109863281,470.0,2025-04-04,call,0.25,0.33,15.0,84,0.26,0.2585523364257813,0.09945575334071666,1.175793628405037
399.7300109863281,475.0,2025-04-04,call,0.21,0.28,7.0,22,0.23,0.26563234375,0.09945575334071666,1.1883020712604095
399.7300109863281,320.0,2025-04-17,call,81.65,84.5,1.0,106,86.75,0.5401046966552736,0.13504781357343398,0.8005403427438549
399.7300109863281,325.0,2025-04-17,call,76.75,79.8,1.0,42,86.16,0.5228319201660157,0.13504781357343398,0.8130487855992277
399.7300109863281,330.0,2025-04-17,call,71.85,73.8,1.0,21,72.7,0.4616142706298829,0.13504781357343398,0.8255572284546003
399.7300109863281,335.0,2025-04-17,call,66.45,70.05,1.0,71,68.88,0.47559118164062497,0.13504781357343398,0.8380656713099731
399.7300109863281,340.0,2025-04-17,call,62.6,65.3,2.0,75,63.02,0.45532771240234376,0.13504781357343398,0.8505741141653458
399.7300109863281,345.0,2025-04-17,call,57.05,60.4,2.0,64,60.65,0.43030354858398445,0.13504781357343398,0.8630825570207186
399.7300109863281,350.0,2025-04-17,call,52.1,55.25,31.0,414,52.3,0.3983214465332031,0.13504781357343398,0.8755909998760913
399.7300109863281,355.0,2025-04-17,call,49.25,51.2,3.0,119,53.4,0.3947814428710938,0.13504781357343398,0.888099442731464
399.7300109863281,360.0,2025-04-17,call,44.85,47.0,26.0,199,47.55,0.38492436370849603,0.13504781357343398,0.9006078855868368
399.7300109863281,365.0,2025-04-17,call,40.45,42.1,32.0,116,40.0,0.3573367489624023,0.13504781357343398,0.9131163284422095
399.7300109863281,370.0,2025-04-17,call,36.35,37.3,38.0,592,35.7,0.33139706695556637,0.13504781357343398,0.9256247712975822
399.7300109863281,375.0,2025-04-17,call,32.2,33.2,27.0,165,31.45,0.31891550231933585,0.13504781357343398,0.9381332141529549
399.7300109863281,380.0,2025-04-17,call,28.05,29.35,28.0,593,28.63,0.30884480224609373,0.13504781357343398,0.9506416570083277
399.7300109863281,385.0,2025-04-17,call,24.5,26.05,32.0,252,24.2,0.30597617858886716,0.13504781357343398,0.9631500998637004
399.7300109863281,390.0,2025-04-17,call,20.0,21.6,75.0,1287,21.43,0.27921253021240233,0.13504781357343398,0.9756585427190732
399.7300109863281,395.0,2025-04-17,call,16.8,18.35,163.0,689,18.06,0.2706066592407227,0.13504781357343398,0.9881669855744459
399.7300109863281,400.0,2025-04-17,call,15.0,16.3,804.0,2759,15.15,0.27841908111572267,0.13504781357343398,1.0006754284298187
399.7300109863281,405.0,2025-04-17,call,12.5,14.0,619.0,1315,12.3,0.2778392529296875,0.13504781357343398,1.0131838712851913
399.7300109863281,410.0,2025-04-17,call,9.5,11.25,930.0,3801,10.22,0.2653576882934571,0.13504781357343398,1.025692314140564
399.7300109863281,415.0,2025-04-17,call,6.1,8.5,399.0,7339,8.2,0.24793232543945312,0.13504781357343398,1.0382007569959368
399.7300109863281,420.0,2025-04-17,call,6.15,7.0,1093.0,7527,6.33,0.24808491180419923,0.13504781357343398,1.0507091998513096
399.7300109863281,425.0,2025-04-17,call,4.9,5.15,596.0,3947,5.0,0.23648834808349606,0.13504781357343398,1.0632176427066822
399.7300109863281,430.0,2025-04-17,call,3.75,4.05,985.0,6004,3.75,0.23517610534667968,0.13504781357343398,1.075726085562055
399.7300109863281,435.0,2025-04-17,call,2.7,3.2,347.0,3554,2.9,0.2354202435302734,0.13504781357343398,1.0882345284174277
399.7300109863281,440.0,2025-04-17,call,2.16,2.24,1683.0,5692,2.18,0.22760782165527343,0.13504781357343398,1.1007429712728005
399.7300109863281,445.0,2025-04-17,call,1.64,1.71,322.0,6191,1.65,0.22760782165527343,0.13504781357343398,1.1132514141281733
